,date,id,num,pi
2,2017-11-14,10,97097557,0.5236197491818788
16,2017-11-15,10,100808098,0.4745133823112307
30,2017-11-16,10,106066813,0.4665037740946246
44,2017-11-17,10,71951966,0.3717646476732863
58,2017-11-18,10,71341340,0.3624204854661777
72,2017-11-19,10,71648075,0.3331658407310847
85,2017-11-20,10,90979245,0.3540046914610087
99,2017-11-21,10,106261890,0.3901426002015312
113,2017-11-22,10,126800422,0.4475098081965228
127,2017-11-23,10,131043898,0.4696349402245327
141,2017-11-24,10,146023610,0.4927945295746403
155,2017-11-25,10,165746174,0.5304691197292087
169,2017-11-26,10,188427721,0.5535635370553166
183,2017-11-27,10,89342557,0.3464242257120566
197,2017-11-28,10,78668250,0.3242927206813031
211,2017-11-29,10,86106138,0.441203128967855
225,2017-11-30,10,86552285,0.3612985589819396
239,2017-12-01,10,63092795,0.2708746012585017
253,2017-12-02,10,38325548,0.1770283197981009
267,2017-12-03,10,59952048,0.2376510769027518
281,2017-12-04,10,74946299,0.263030788651221
295,2017-12-05,10,89138602,0.282206526324876
309,2017-12-06,10,96244451,0.2862020705554026
323,2017-12-07,10,110630287,0.2866539345111907
337,2017-12-08,10,111974601,0.2829639615132161
352,2017-12-09,10,58732822,0.1993701096608174
367,2017-12-10,10,40241626,0.123062714414889
382,2017-12-11,10,47841163,0.1279148160867623
396,2017-12-12,10,37400367,0.104841119579817
410,2017-12-13,10,61353342,0.1618542189052271
423,2017-12-14,10,74120705,0.1950441684923179
435,2017-12-15,10,74233969,0.3082811270567362
448,2017-12-16,10,50983532,0.2845034766924118
463,2017-12-17,10,63302677,0.3317527372701494
478,2017-12-18,10,70472354,0.3189887073124068
492,2017-12-19,10,34669504,0.1866178831462192
507,2017-12-20,10,38007244,0.2108514006957191
522,2017-12-21,10,50086479,0.2629719135388371
537,2017-12-22,10,56555553,0.2994386338963199
551,2017-12-23,10,45618282,0.2563516404818873
564,2017-12-24,10,60124458,0.3288608133027397
578,2017-12-25,10,77096846,0.365656623892672
592,2017-12-26,10,89156551,0.4021887320537255
606,2017-12-27,10,104130705,0.4304721103212226
620,2017-12-28,10,102979860,0.3898524251350488
634,2017-12-29,10,114481201,0.4243440601293377
648,2017-12-30,10,111004688,0.4080161960445169
662,2017-12-31,10,127986827,0.4458531661308022
676,2018-01-01,10,140371370,0.4558128869894658
690,2018-01-02,10,145141284,0.4532667303832757
704,2018-01-03,10,65807186,0.2620757271621096
718,2018-01-04,10,55110349,0.2296351027987258
732,2018-01-05,10,38394346,0.1900084740917436
747,2018-01-06,10,58734954,0.2815196981550478
762,2018-01-07,10,77456379,0.3540495799544266
777,2018-01-08,10,86765645,0.3742316705459406
792,2018-01-09,10,89907763,0.3620233136412876
807,2018-01-12,10,106046937,0.530232200862139
822,2018-01-13,10,38800034,0.2775871839769263
836,2018-01-14,10,58378630,0.3521568587614206
850,2018-01-15,10,66692815,0.3427517987208748
864,2018-01-16,10,79558111,0.3691625544890209
879,2018-01-17,10,84126424,0.3822246557777093
893,2018-01-18,10,92237414,0.426681864442378
907,2018-01-19,10,85995950,0.4136195180351509
920,2018-01-20,10,25688288,0.1711644312039441
933,2018-01-21,10,34523003,0.2149955493502614
946,2018-01-22,10,40989110,0.2233386600678603
959,2018-01-23,10,48419664,0.2347152622346106
972,2018-01-24,10,59803678,0.2533241336297845
985,2018-01-25,10,69476499,0.2639478488446612
999,2018-01-26,10,29483709,0.1446397506983411
1014,2018-01-27,10,36561692,0.1784466466802331
1029,2018-01-28,10,58394064,0.2529508536141954
1045,2018-01-29,10,68238521,0.2677917573197778
1061,2018-01-30,10,86182601,0.3145882916772127
1076,2018-01-31,10,107009916,0.3757557521224475
1090,2018-02-01,10,118479628,0.415406508064609
1104,2018-02-02,10,77928663,0.3742875470643566
1118,2018-02-03,10,61219193,0.3372688718483531
1131,2018-02-04,10,71081449,0.3443681853381635
1145,2018-02-05,10,47016248,0.21933736309652
1160,2018-02-06,10,48714020,0.1538452224406493
1175,2018-02-07,10,26917104,0.0853103360265659
1190,2018-02-08,10,31835468,0.0829797075254755
1205,2018-02-09,10,35487288,0.0945775576571488
1220,2018-02-10,10,31946682,0.0852622657316731
1234,2018-02-11,10,39507242,0.0975313675158665
1248,2018-02-12,10,45755953,0.1128325084175909
1262,2018-02-13,10,50990782,0.1256815736119022
